job_id,company_id,title,description,location,job_type,job_required_experience_type,job_posting_url,company_name
3756181114,1344.0,Sr Systems Eng Supervisor,"Join a team recognized for leadership, innovation and diversity

The future is what we make it. 

When you join Honeywell, you become a member of our global team of thinkers, innovators, dreamers, and doers who make the things that make the future. That means changing the way we fly, fueling jets in an eco-friendly way, keeping buildings smart and safe and even making it possible to breathe on Mars. 

Working at Honeywell isn’t just about developing cool things. That’s why all our employees enjoy access to dynamic career opportunities across different fields and industries. 

 

Are you ready to help us make the future? 

The System Engineering Supervisor reports to the System Engineering Manager and is ultimately responsible for successful engineering execution and engineering management of the assigned project completion within agreed technical scope, schedule, and budget. 

RESPONSIBILITIES:  

 Establish professional relationships and communications with customers, project managers, project engineering discipline leads, concept & estimation, ISC and Install teams. Act as technical interface to customers and is responsible to ensure that the engineered solution meets project requirements in terms of functionality, standards, quality, and supporting documentation. Supervise and coordinate the activities of the system engineer team and related administrative issues, to ensure that the projects are delivered effectively. Actively reviews, monitors, and controls the projects' health from an engineering perspective. Ensure technical scope changes are identified and reported in a timely proactive manner to Project Managers. Tracks AS-Sold vs AS-DESIGNED vs AS-BUILT scope throughout the project lifecycle and documents any changes as risks/opportunities. Create documents for change orders during a project lifecycle. Actively participate in project analysis, design, implementation, and testing for the assigned project. Ensures 100% compliance to phase gate reviews and all deliverables are submitted to the customer on time. Participate in monthly project reviews with Project managers / Program managers. Drive culture of change identification, change management, technical risk identification & mitigation, value engineering ideas, techniques & solutions are applied on the assigned projects. Seek efficiencies in the project execution methodology to bring down cost and or increase the value delivered to the customer. Develop and enhance the work processes and procedure as needed. Prepare and maintain work schedules, generate technical reports, correspondence, and minutes of meetings to control, document and convey information relating to assigned jobs and projects to leadership and customers. Coordinates with engineering discipline leads & engineers through all phases of the project and ensures deliverables are met and complete. Drives billability of the project group, project cost forecast accuracy and monitors engineering hours & financials to ensure assigned project is completed within agreed engineering cost budget, any EAC changes due to engineering are logged in CORA and have been approved before the EAC variance is shown in the forecast. Ensure common methods, procedures, techniques, tools, and products as agreed by the knowledge communities / Leaders are being effectively applied and provide feedback for future improvement. Performs root cause analysis on issues identifi Deliver business value through Right and Fast partnership

When you join Honeywell, you become a member of our global team of thinkers, innovators, dreamers, and doers who make the things that make the future. That means changing the way we fly, fueling jets in an eco-friendly way, keeping buildings smart and safe and even making it possible to breathe on Mars.

Working at Honeywell isn’t just about developing cool things. That’s why all our employees enjoy access to dynamic career opportunities across different fields and industries.

The Field Service Engineer will be responsible within the Honeywell Industrial Safety business unit, HA Gas Detection business for support. The Engineer will be responsible for customer management and service support of Honeywell Analytics Toxic Gas Monitoring Systems (TGMS) equipment. Both preventive and reactive service response is required, based on established process, controls, and team workflow. Service personnel not only maintain current equipment to manufacturer standards but will be a part of commissioning new equipment as needed.

The Field Service Engineer is the face of Honeywell and will interact with several contacts within our customer’s organization including end-users. Key attributes of the Engineer are a consistent drive to manage workflow as part of a team and an unquenchable thirst to improve processes and the way we service in addition to independent leadership behaviors that will complement the current team. You will support the development of on-site installation, servicing and repair processes of complex equipment and systems. You will provide technical presentations to an audience of customers, other industry peers and competitors. You will support revision and correction of work instructions and customer-facing training guides used by field installation specialists. You will drive continuous improvement initiatives in the processes related to field services and product development. You will support cross-functional groups to quickly fix any administrative difficulties relating to delivery and installation of proper equipment. You will act as an escalation point for Field Service Specialists, Service Engineers, and other stakeholders.

Key Responsibilities

Validate customer requestEducate customer and field techniciansWrite documentation used by field techniciansInstall gas detection systems such as electrochemical, catalytic bead, and infrared or repair work ordersMaintenance faults in an expedited manner to return equipment to fully operationalOrder all parts and maintain stocking for both consumable and non-consumable itemsProvide Customer Support to on-site point of contact

Compensation

Non-incentive eligible

Base salary range of 56k-84k based on experience

U.s. Person Requirements

Due to compliance with U.S. export control laws and regulations, candidate must be a U.S. Person, which is defined as, a U.S. citizen, a U.S. permanent resident, or have protected status in the U.S. under asylum or refugee status or have the ability to obtain an export authorization

YOU MUST HAVE

Minimum of 3 years of installation/maintenance experience

WE VALUE

Experience in Life safety, Semiconductor, Industrial environments, or similar military systemsKnowledge of Industrial Safety Systems and Procedures (ex. SCADA, Fire, Gas)Proficiency in MS Office applicationsAbility to follow instructions and identify mistakesBachelor’s degree or technical/professional certificateGood presentation skillsStrong written and verbal skills

Benefits

Benefits provided may differ by role and location. Learn more at benefits.honeywell.com.

Additional Information

JOB ID: HRD213082Category: Customer ExperienceLocation: 14 Columbia Circle STE 103,Albany,New York,12203-5196,United StatesNonexemptMust be a US Person or able to obtain export Authorization.

Engineering (GLOBAL)

Honeywell is an equal opportunity employer. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, religion, or veteran status.","Ohio, NY",Full-time,Mid-Senior level,https://www.linkedin.com/jobs/view/3756181114/?trk=jobs_biz_prem_srch,Honeywell
3756176800,1344.0,Senior Manufacturing Technician - 1st Shift,"Design solutions to drive safe living and quality of life

The future is what you make it.

When you join Honeywell, you become a member of our global team of thinkers, innovators, dreamers and doers who make the things that make the future.

That means changing the way we fly, fueling jets in an eco-friendly way, keeping buildings smart and safe and even making it possible to breathe on Mars.

Working at Honeywell isn’t just about developing cool things. That’s why all of our employees enjoy access to dynamic career opportunities across different fields and industries.

Are you ready to help us make the future?

Produce high quality products and services for our customers. In the Sr Manufacturing Technician role, Plymouth, MN, you will assemble and inspect product to ensure the highest quality product is provided to our customers. You will be responsible for your work area to ensure the safe and efficient operation of the area. You will set up and monitor the production of product in your area and participate in the continuous improvement process at the site to address safety, production and quality improvements.

Key Responsibilities

Operate assigned equipment.

Participate in continuous improvement activities.

Support the Honeywell Operating System

Maintain work area for operation and cleanliness

Comply with all safety rules.

Good coordination, motor skills, and dexterity

Record and report production data.

Analyze data and production reports

Set up and change over equipment

U.s. Person Requirements

Due to compliance with U.S. export control laws and regulations, candidate must be a U.S. Person, which is defined as, a U.S. citizen, a U.S. permanent resident, or have protected status in the U.S. under asylum or refugee status.

YOU MUST HAVE

High School Diploma

Must be a US Citizens due to contractual requirements

3 + yrs Manufacturing experience.

WE VALUE

Ability to analyze information and concepts

Ability to collaborate with others and work independently

Ability to complete work in a timely manner

Ability to report and follow up on production responsibilities

Ability to focus on important information and follow detailed instructions

Troubleshooting skills

Creative thinking and idea generation

Electronic Manufacturing experience

Cleanroom environment experience

Semiconductor experience

Additional Information

JOB ID: HRD212395Category: Integrated Supply ChainLocation: 12001 State Highway 55,Plymouth,Minnesota,55441,United StatesNonexempt

Customer Experience (GLOBAL)

Honeywell is an equal opportunity employer. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, religion, or veteran status.","Plymouth, MN",Full-time,Mid-Senior level,https://www.linkedin.com/jobs/view/3756176800/?trk=jobs_biz_prem_srch,Honeywell
3756134281,1344.0,Quality Engineer II,"Innovate to solve the world's most important challenges

The future is what you make it.

When you join Honeywell, you become a member of our global team of thinkers, innovators, dreamers, and doers who make the things that make the future.

That means changing the way we fly, fueling jets in an eco-friendly way, keeping buildings smart and safe and even making it possible to breathe on Mars.

Working at Honeywell isn’t just about developing cool things. That’s why all of our employees enjoy access to dynamic career opportunities across different fields and industries.

Are you ready to help us make the future?

Be a part of a team of Quality Engineers at the Northford site that applies its expertise and knowledge in finding innovative, cost-effective means to improve quality output and continuous improvements. You will drive process initiatives that ensures compliance with customer requirements, regulatory agencies, government regulations and engineering specifications while instilling site accountability for governance of the Quality System, product acceptance and product quality.

Work with manufacturing engineering on process improvement and process optimization. Identify the root cause and take appropriate action. Work with cross-functional team to improve and enforce quality management system (QMS). Ensure ISO 9001:2015 standards are implemented and enforce for Northford facility.

Key Responsibilities

Responsible for manufacturing process and product design improvementsResponsible for reporting quality metrics, PPM, Yield, COPQ & RPSOversee manufacturing deviation and engineering change noticesCoordinate resolution working with cross functional teamsIdea generation & Brainstorm solutionsProcess definition Drive technical solutionsCost improvement analysisRisk analysis

The salary range for this position in Connecticut is $71,400 to $107,000.

The actual base salary offer will depend on a variety of factors including experience, education, geography and other relevant factors.

YOU MUST HAVE

5 years’ experience in quality engineering OR bachelor’s degree in engineeringAdvance knowledge of electronic components or Quality Management System (QMS)Strong verbal and written communications skills

WE VALUE

Electrical Engineering Bachelor’s degreeSAP knowledgeHands on work ethicRegulatory understandingKnowledge of six sigma tools OR Green Belt CertificationAbility to work independentlyAbility to partner with others on projects

Additional Information

JOB ID: HRD212944Category: Integrated Supply ChainLocation: One Firelite Pl,Northford,Connecticut,06472,United StatesExempt

Global (ALL)

Honeywell is an equal opportunity employer. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, religion, or veteran status.","Northford, CT",Full-time,Entry level,https://www.linkedin.com/jobs/view/3756134281/?trk=jobs_biz_prem_srch,Honeywell
3756133384,1344.0,Design Verification Engineer (ASIC or FPGA) REMOTE,"Join the industry leader to design the next generation of breakthroughs

The Future Is What You Make It.

 🔸 When you join Honeywell, you become a member of our global team of thinkers, innovators, dreamers and doers who make the things that make the future.

🔸 That means changing the way we fly, fueling jets in an eco-friendly way, keeping buildings smart and safe and even making it possible to breathe on Mars.

🔸 Working at Honeywell is not just about developing cool things. That is why all of our employees enjoy access to dynamic career opportunities across different fields and industries.

Are you ready to help us make the future?

Bring your talents as an FPGA (and/or ASIC) Design Verification Engineer and be part of a dynamic team of talented engineers who innovate and create the electronics that Aerospace runs on and contribute to the future of aerospace technology.

Help us create the world’s most advanced systems for our global space-based electronics for human-based or satellite systems, sensors and navigation systems, and a range of aviation safety, cockpit, engine control, and connectivity products and services

Key Responsibilities

Join a team that designs, verifies, integrates and tests digital ASIC, FPGA and mixed-signal integrated circuits for complex aerospace products. You will be responsible for coding, running simulations, synthesis, creating test benches, and preparation of documentation.

Collaborate with design teams to develop and execute verification plans, identify and resolve design issues Verification using System Verilog/UVMParticipate in requirements and verification reviewsDevelopment of verification testbenches, verification test cases, Simulation testbench coding, simulation analysis, and verification results documentation.Conduct Code Synthesis, Integration and Test SupportWork with hardware and software engineers during planning, requirements and architecture, design, test and integration phases.

U.s. Citizenship Requirements

Must be a US Citizen due to contractual requirement

YOU MUST HAVE

Bachelor’s degree from an accredited institution in a technical discipline such as the sciences, technology, engineering or mathematics

WE VALUE

4+ years' experience in FPGA (and/or ASIC) Design VerificationProficiency in verification languages and methodologies (e.g., UVM, SystemVerilog, etc).Experience with industry-standard verification toolsProfessional Knowledge in some of the following is Beneficial:Knowledge of design tools: simulators, STA tools, synthesis, etcKnowledge of scripting languages (e.g. Perl, Shell, TCL, etc.)Knowledge of AMBA, PCI, Ethernet, I2C, SPI, OS Linux,Knowledge of DO-254 Airborne Electronic Hardware development lifecycle a PLUSGood communication skills (verbal and written)Self – starter, motivated and takes initiative and able to lead a small teamStrong technical problem solving skills
Additional Information

JOB ID: req422551Category: EngineeringLocation: United StatesExempt

Engineering (EMEA)

Honeywell is an equal opportunity employer. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, religion, or veteran status.",United States,Full-time,Entry level,https://www.linkedin.com/jobs/view/3756133384/?trk=jobs_biz_prem_srch,Honeywell
3756130760,1344.0,Assistant General Counsel,"When you join Honeywell, you become a member of our global team of thinkers, innovators, dreamers, and doers who make the things that make the future.

The Assistant General Counsel will provide counsel to senior management within the company, coordinate with outside legal counsel and may be expected to take on a mentoring role within the legal department. You will analyze and summarize complicated legal documents, including contracts, making suggestions for alterations of those documents. You will anticipate and mitigate potential legal problems within the organization and developing strategies to avoid costly litigation and reduce potential areas of risk.

Key Responsibilities

 Advise business leadersMentor and support contract professionalsProvide legal guidance and interpret laws and regulationsConduct legal researchAnalyze, revise and negotiate legal documentsPerform due diligenceMitigate and settle potential legal issuesSupport business legal mattersDrive continuous improvementLead changeRemoves performance barriersAssigns resources proactivelyEstablishes prioritiesChampions integrity

You Must Have

Juris Doctor (JD) or equivalentPracticed law for at least 10 years and have experience in drafting and negotiating major commercial contracts in a multi-national corporation or law firmAt least 7+ years’ experience drafting and negotiating major commercial contracts in a multi-national corporation, or an Engineering, Procurement and Construction firm or a law firm

We Value

Significant experience in commercial lawAbility to set prioritiesAbility to influence at varying levels across organizationAbsolute adherence to principles of integrity, compliance and ethicsGood judgment and decision-making skillsCreative problem solving and strong communication skillsAn inclusive working environmentCustomer or supplier facing experienceExperience leading teams and developing talentSearches for significant ways to improve customer serviceStrong problem solving and communication skillsConsistently delivers on even difficult commitmentsConveys specific, observable, and measurable expectations

Additional Information

JOB ID: HRD213839Category: LegalLocation: 2101 CityWest Blvd,Houston,Texas,77042,United StatesExempt

Honeywell is an equal opportunity employer. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, religion, or veteran status.","Houston, TX",Full-time,Mid-Senior level,https://www.linkedin.com/jobs/view/3756130760/?trk=jobs_biz_prem_srch,Honeywell
3755581325,1344.0,Assembler - Level 1,"Innovate to solve the world's most important challenges

Pay: $17/hr.

Shift: 6am – 6pm

Rotating Schedule: 2 days ON, 2 days OFF, 3 days ON, 2 days OFF

The future is what we make it.

When you join Honeywell, you become a member of our global team of thinkers, innovators, dreamers, and doers who make the things that make the future. That means changing the way we fly, fueling jets in an eco-friendly way, keeping buildings smart and safe and even making it possible to breathe on Mars.

Working at Honeywell isn’t just about developing cool things. That’s why all our employees enjoy access to dynamic career opportunities across different fields and industries.

Are you ready to help us make the future?

Produce high quality products and services for our customers. You will assemble and inspect product to ensure the highest quality product is provided to our customers. You will be responsible for your work area to ensure the safe and efficient operation of the area. You will set up and monitor the production of product in your area and participate in the continuous improvement process at the site to address safety, production, and quality improvements. This role requires good coordination, motor skills, and dexterity

Responsibilities

 Operate assigned equipment. Participate in continuous improvement activities. Support the Honeywell Operating System Maintain work area for operation and cleanliness Comply with all safety rules. Record and report production data. Analyze data and production reports Set up and change over equipment Ability to lift up to 35 poundsWE VALUE: Ability to analyze information and conceptsAbility to collaborate with others and work independentlyAbility to identify key detailsAbility to troubleshootCreative thinking and idea generationAbility to communicate information clearly

Benefits

Benefits provided may differ by role and location. Learn more at benefits.honeywell.com.

Medical/Rx Health Savings Account (HSA)

Dental/Vision Short/Long-Term Disability

Flexible Vacation Time Employee Assistance Program (EAP)

401(k) Plan Education Assistance

The Future Is What We Make It

From sustainable aviation fuel and life-saving healthcare sensors to collaborating on every NASA space mission since the 1950s, over 100 years of innovation has always been driven by an investment in our people.

Honeywell is an equal opportunity employer. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, religion or veteran status.

Additional Information

JOB ID: HRD213942Category: Integrated Supply ChainLocation: 4295 Atlanta St,North Charleston,South Carolina,29418,United StatesNonexemptDue to US export control laws, must be a US citizen, permanent resident or have protected status.

Business Services

Honeywell is an equal opportunity employer. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, religion, or veteran status.","North Charleston, SC",Full-time,Entry level,https://www.linkedin.com/jobs/view/3755581325/?trk=jobs_biz_prem_srch,Honeywell
3755577931,1344.0,Program Lead,"Innovate to solve the world's most important challenges

Be part of a dedicated team of project management professionals that manage our strategic bids (SEA) and deliver successful deployments for our strategic end user & partner accounts. The Program Management team are a critical customer interface that strives to meet the customer’s deployment and ROI goals in alignment with Honeywell’s. Customers served range across different verticals, workflows, and product offerings. The role provides an opportunity to deliver value through customer engagement and building knowledge of effective cross-functional collaboration within Honeywell, working with our sales, marketing and operations teams.

In this role, you will serve as liaison between the customer and cross functional teams to deliver achievement to the project goals. You will review status of projects and goal achievement. You will coordinate schedules and deliver status reports. You will assess project issues, and develop resolutions to meet productivity, quality, and customers satisfaction objectives. You will develop mechanisms for monitoring project progress, and for intervention and problem solving with project managers, line managers, and customers. You will strive to deliver outstanding customer experience (CX) and support the long-term partnership with sustaining strategic accounts. Through the SEA process you will help to structure bids to win deals, manage profitability, and build a bid resource.

Key Responsibilities

Project/program managementProject PlanningCustomer support and relationship buildingFacilitate Cross functional team AlignmentCreate & deliver Status Reports

WE VALUE

Bachelors DegreeProficient understanding of the principles and best practices in project management and customer serviceExcellent team and communication skillsAn ability to take initiative and work with limited directionAn ability to influence across a broader organizationAn ability to drive adapt customer needs to an established reporting structure including for KPI attainmentAn ability to meet operational deadlines and KPIs.Solid Excel, reporting skills with an ability to understand a P&L statementPMP certification (or previous certification) helpful

Additional Information

JOB ID: HRD213181Category: Business ManagementLocation: 855 S Mint St,Charlotte,North Carolina,28202,United StatesExempt

Business Services

Honeywell is an equal opportunity employer. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, religion, or veteran status.","Charlotte, NC",Full-time,Mid-Senior level,https://www.linkedin.com/jobs/view/3755577931/?trk=jobs_biz_prem_srch,Honeywell
3755577820,1344.0,Sr. Channel Marketing Specialist,"Innovate to solve the world's most important challenges

Support the Honeywell Personal Protective Equipment (PPE) business by closely working with the sales and product management teams to drive business growth through our network of U.S. and Canada channel partners. You are responsible for the development and execution of the annual partner program as well as key account channel marketing programs to ensure success in achieving growth goals. You will work closely with all aspects of the business to gather product and channel insights. You will maintain, analyze, and report business data to support channel programs and new product launch.

Key Responsibilities

 Develop, support, and activate the Annual Honeywell Channel Partner Program Own Channel Management activities, including contracts, programs and scorecards Optimize allocation and ROI of the channel marketing development fund budget Create and execute channel marketing plans to generate awareness and drive demand. Both for new products and sustaining solutions. In collaboration, set sales-in and sales-out targets for account managers Lead marketing initiatives through channel partners, including partnerships, promotions and events Manage regular communication and marketing assets for channel partners Build relationships and be the voice of the channel to the business Partner with channel partner’s marketing teams to execute strategic initiatives Providing guidance and leadership to develop partner insights & analytics based on available data such as sales in, POS, inventory, and market data. Gather, maintain, analyze report data and drive gap closure activities

YOU MUST HAVE 

 5+ years of marketing experience in a fast-paced environment Experience in channel marketing, channel management or business development in a B2B environment Familiarity with business analytics tools (Salesforce, Tableau, etc.) Strong written communication and presentation skills Excellent execution/activation skills Strong financial and business acumen Ability to work independently and as part of a cross functional team Effective time management and organizational skills

WE VALUE 

 Bachelor’s degree in marketing or related field or relevant experience a plus Experience with digital marketing tactics, including web, email, social Attention to detail and accuracy Excellent organizational and project planning skills Experience presenting to senior management and to key account leadership

SYSTEMS

 Effective time management and organizational skills Attention to detail and accuracy Excellent organizational and project planning skills

Inclusion and Diversity (I&D) is a foundational principle at Honeywell, both because it’s the right thing to do and because it is a fundamental enabler for our business. We actively recruit, develop and retain talent from diverse backgrounds and cultures who bring different experience, perspectives, abilities and ideas. We foster an inclusive environment in which all employees feel valued, respected and accepted.

Inclusion and Diversity is more than a commitment to us, it is the way we work.

Additional Information

JOB ID: req422180Category: MarketingLocation: 855 S Mint St,Charlotte,North Carolina,28202,United StatesExempt

Marketing (GLOBAL)

Honeywell is an equal opportunity employer. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, religion, or veteran status.","Charlotte, NC",Full-time,Mid-Senior level,https://www.linkedin.com/jobs/view/3755577820/?trk=jobs_biz_prem_srch,Honeywell
3755576807,1344.0,Materials Management Lead,"Innovate to solve the world's most important challenges

The future is what you make it.

When you join Honeywell, you become a member of our global team of thinkers, innovators, dreamers and doers who make the things that make the future.

That means changing the way we fly, fueling jets in an eco-friendly way, keeping buildings smart and safe and even making it possible to breathe on Mars.

Working at Honeywell isn’t just about developing cool things. That’s why all of our employees enjoy access to dynamic career opportunities across different fields and industries.

Are you ready to help us make the future?

Oversee and direct operations and be part of overseeing and directing operations for world-class integrated supply chain projects. You will assess project issues and develop enhanced resolutions to meet or exceed productivity, quality, and customers satisfaction goals and objectives. You will develop mechanisms for monitoring project progress and for intervention and problem solving with key stakeholders.

Key Responsibilities

Drive and execute new initiativesInfluence functional stakeholdersProcess optimization and improvementSupport Integrated Supply Chain sitesWork with the factory team support to manage riskIdentify supply and demand miss-alignment within a 13-week windowLead projects that drive improvements within the materials and supply chain teamsMonitor inventory levels of components required to support the schedulePerform data analysis and resolve inventory discrepanciesAssist in resolution of component quality issues

U.s. Citizen Requirements

Due to compliance with U.S. export control laws and regulations, candidate must be a U.S. citizen, U.S. permanent resident, or have asylum or refugee status in the U.S.

YOU MUST HAVE

5+ years of Manufacturing Operations or Supply Chain experience

WE VALUE

Bachelor’s DegreeSome experience in project managementAbility to lead/drive change, and influence/mentor othersMentor junior members or peersIn depth experience and expertise with MRP/ERP Systems

Additional Information

JOB ID: HRD213372Category: Integrated Supply ChainLocation: 111 S 34th St.,Phoenix,Arizona,85034,United StatesExemptDue to US export control laws, must be a US citizen, permanent resident or have protected status.

Global (ALL)

Honeywell is an equal opportunity employer. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, religion, or veteran status.","Phoenix, AZ",Full-time,Mid-Senior level,https://www.linkedin.com/jobs/view/3755576807/?trk=jobs_biz_prem_srch,Honeywell
3755557067,1344.0,Machine Operator - Level 1,"Improve business and family comfort, protection and productivity

Produce high quality products and services for our customers. You will assemble and inspect product to ensure the highest quality product is provided to our customers. You will be accountable for your work area to ensure the safe and efficient operation of the area. You will set up and monitor the production of product in your area and participate in the continuous improvement process at the site to address safety, production and quality improvements.

Key Responsibilities

Operate assigned equipment.Participate in continuous improvement activities.Promote the Honeywell Operating SystemMaintain work area for operation and cleanlinessComply with all safety rules.Record and report production data.Set up and change over equipmentMust be able to see small parts through a microscope or visual

U.s. Person Requirements

Due to compliance with U.S. export control laws and regulations, candidate must be a U.S. Person, which is defined as, a U.S. citizen, a U.S. permanent resident, or have protected status in the U.S. under asylum or refugee status.

YOU MUST HAVE

High School Diploma

WE VALUE

Demonstrated ability to comprehend paperwork and quality checksAbility to analyze information and conceptsAbility to partner with others and work independentlyAbility to identify key detailsAbility to troubleshootGood coordination, motor skills, and dexterityCreative thinking and idea generationSome parts washing experienceAbility to convey information clearlyMust be able to lift 10 – 20 lbs often.Must be able to wear steel toe shoes, safety glasses and hearing protection always. Gloves need to be worn as well. Depending on the job will depend on the glove.Must be able to multitask, lift, bend, stand, walk and repetitious hand and arm movement. Fast paced position with several work areas that will be rotated daily if able.

Additional Information

JOB ID: HRD213857Category: Integrated Supply ChainLocation: 2520 S Walnut Rd, Plant 4,Freeport,Illinois,61032,United StatesNonexempt

Global (ALL)

Honeywell is an equal opportunity employer. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, religion, or veteran status.","Freeport, IL",Full-time,Entry level,https://www.linkedin.com/jobs/view/3755557067/?trk=jobs_biz_prem_srch,Honeywell
