job_id,company_id,title,description,location,job_type,job_required_experience_type,job_posting_url,company_name
3757749106,11056.0,Senior Developer,"Insight Global is seeking a Conversational Expert with over two years of extensive experience in crafting simple SMS first conversational experiences across a broad spectrum of messaging channels leveraging Twilio or similar low code solutions. This role requires a strong proficiency in API integration’s and the ability to work in fast paced environment and in cross functional teams to engage in co-creation efforts with teams across different departments to ensure alignment with organizational objectives.
Responsibilities • Designing technology solutions and writing technical specifications. • Collaborate with Product/design personnel to construct MVP product. • Write code according to technical specifications. • Implement tracking for key analytics events. • Contribute technical solution feasibility advice during design reviews. • Contribute to product backlog grooming and other Agile ceremonies. 
Required Experience • More than 5 years of experience developing applications and digital solutions from front-end to back-end. • Experience working with cloud infrastructure including interfacing with DevOps teams and understanding of CI/CD pipelines and Docker-based containerized deployments. • Experience designing, authoring, and reviewing user documentation as well as writing functional, detailed technical specifications for applications.","Sacramento, CA",Contract,Mid-Senior level,https://www.linkedin.com/jobs/view/3757749106/?trk=jobs_biz_prem_srch,Insight Global
3757748166,11056.0,Customer Service Representative,"Must HavesPrior experience in the service industry (working with customers)Highschool diplomaStrong communication and interpersonal skills PlussesPrior call center experienceBachelor's degreeDesire for long term opportunity & to grow in the company Day to Day A large financial group in Cincinnati is seeking Customer Service Consultants to join their Enterprise Engagement Center. This team is completing inbound service calls to current clients regarding payments, annuities, life insurance qualifications, beneficiaries, etc.  More responsibilities include: Reviews, researches and/or analyzes necessary policy data in order to resolve client inquiries or concerns via telephone, written correspondence, email or online chat.Provides professional and courteous service, including diffusing escalated clients to resolve concerns; completes service requests within departmental service levels.Proactively seeks resolution to client issues; uses solid judgment in recognizing the need to escalate situations to management.Provides analysis and service for all products within the Western & Southern Life portfolio.Makes independent decisions regarding customer requests, and processes policy transactions on administrative systems as necessary.Maintains accurate information and documentation in Salesforce Customer First Platform.Required to utilize multiple administration systems to service clients.Proactively conducts outbound calls to follow up on previous client concerns to ensure issues were resolved accurately and timely.Analyzes client trends to identify and mitigate risk to the Enterprise, including, but not limited to, anti-money laundering, privacy concerns, premium financing and unethical practices.Requires developing and maintaining comprehensive knowledge of state regulations, required forms, policy details, processes, current and discontinued products, etc.Develops and maintains positive working relationships with internal and external clients.Identifies cross-selling opportunities and utilizes tailored approaches to secure sales leads.Proactively conducts conservation efforts to retain business.Processes all work requests received through Imaging from various departments within established service levels.Identifies system or procedural problems and recommends improvements to benefit clients or home office associates.Services walk-in clients to the Home Office.Performs other duties as assigned by management.",Cincinnati Metropolitan Area,Contract,Mid-Senior level,https://www.linkedin.com/jobs/view/3757748166/?trk=jobs_biz_prem_srch,Insight Global
3757746075,11056.0,Project Manager,"Day To Day:An employer is looking for a quality project manager in the Santa Monica area. This individual will be responsible for coordinating all follow ups after internal GMP audits. They will work with quality and manufacturing to coordinate completion of action items identified such as; scheduling and facilitating tracking meetings, reporting status of actions, helping in coordinating resolution of actions, developing plan to complete actions. They will be reporting into a quality manager and coordinating with various teams. The ideal candidate will be very hands on and tactical, relying on MS project and excel to display their findings and progress.
MUST HAVES:-3-5+ years expereince in a quality role-2+ years in a project manager role-GMP/FDA background-Pharmaceutical or medical device background-Experience with project management software (i.e. MS Project, Primavera","Santa Monica, CA",Contract,Mid-Senior level,https://www.linkedin.com/jobs/view/3757746075/?trk=jobs_biz_prem_srch,Insight Global
3757745013,11056.0,Help Desk Specialist,"Requirements-Good customer service and written communication skills -Networking, Software, and Hardware basic troubleshooting or ability to learn -Basic Printer troubleshooting or the ability to learn -Financial/governmental/administrative systems experience -Excellent time management Plusses (Not Required)-1 year of experience in a helpdesk role Job Description *This person will provide basic technical support to include hardware deployments to various County personnel and departments. Additionally, this candidate will be providing clerical and administrative support to the purchasing & acquisition process for the clients technical needs, as well as upkeep on documentation of ordering/receipt of supplies. They need to have a technical aptitude and willingness to learn new things. They will be supporting county users and employees with technical issues.","Yreka, CA",Full-time,Entry level,https://www.linkedin.com/jobs/view/3757745013/?trk=jobs_biz_prem_srch,Insight Global
3757742953,11056.0,Contract Administrator,"Title: Contracts Manager/ Administrator Client: Insight Globals Evergreen DivisionLocation: Auburn, CA ( 2 days on site/ 3 days remote) 
Required Skills and Experience *- 5+ years or Project Engineering / Contract Management experience - Have a degree in Electrical or Mechanical Engineering - Understand how to build out construction packages and align scope of work with the services needed - Experience writing SOW's and working with sub-contractors - Excellent oral and written communication
Nice to Have Skills and Experience- Previously worked for this company - Experience with Ariba and SAP
Job Description * In this role you will be responsible for supporting our engineering clients organization and ensuring that all contracts are aligned accurately in response to the largest asset in this organization. This site is going through many updates related to generator support, heavy mechanical (turbine overhaul, generator rotation, transformer installation, disconnects and generator breakers, auxiliary plant systems and 230kv cables which will take until the end of 2024.  In this role you will be working with Project Management organization to write scopes of work for this large EPC firm they have decided to partner with on this work. You will develop construction packages with EOR, work with strategic sourcing on the RFP information, job walks with vendor and PMO to ensure safety and timing. You will also oversee identifying safety specs that have to be attached to a contract, change orders and authorizations.  We need this individual willing to do job walks as frequent as needed, be the right hand person to the PMO group and bring a go-getter attitude to work everyday.","Auburn, CA",Contract,Mid-Senior level,https://www.linkedin.com/jobs/view/3757742953/?trk=jobs_biz_prem_srch,Insight Global
3757742466,11056.0,Project Engineer,"We are seeking Project Engineer 3 to join our Utility Services division in support of a large electric Utility and their capital programs which include electric substation and transmission projects. In this role you will be responsible for coordinating with the client, design and engineering firm, and other stakeholders to review the scope of work, design submittals, and facilitate the design process from inception to close out. 
Qualifications / Experience5-10 years of design or design management experience in electric substationsBachelor’s degree in Civil, Structural, or Electrical EngineeringProfessional Engineer (PE) license in CA highly desirableExcellent written and verbal communication skills with a high level of proficiency in MS Office Word, Excel, Outlook and Project.Ability to management the design process with multiple stakeholders Knowledge of electrical substation, transmission civil, structural design
ResponsibilitiesParticipate in sponsor kickoff meetings to assist in determining scope of workPerform desktop analysis and develop preliminary detailed scope of workRequest proposals from design engineering contractors (Prime)Review Prime’s proposed engineering project scope and schedule estimates; validate, and make recommendations to discipline manager/leaderReview Prime’s requested resource estimates and make recommendations to discipline leader.Review/Recommend and process the project design specification through DocuSignReview purchase order and change order requests in AribaOversee Prime’s design engineering work including: confirm design is within scope and proceeding according to schedule, establish progress at milestones such as 30%, 60%, 90%
Additional InformationThis position will require the candidate to be in the Pomona, CA office every Tuesday and one other day in the field as necessary to support assigned projectsMiles reimbursed for commute in excess of 100 miles round tripTravel 40% - 50% of the time","Pomona, CA",Full-time,Mid-Senior level,https://www.linkedin.com/jobs/view/3757742466/?trk=jobs_biz_prem_srch,Insight Global
3757742374,11056.0,Production Inventory Coordinator,"One of Insight Global's largest aerospace clients is looking Production Inventory Coordinator. This is a multi-faceted position that will include: ordering and maintaining prex parts; replacement tools, and HAZMAT inventories. You will be processing deliveries of repaired avionics into internal and external databases as well as on-site parts deliveries to technicians. Communication with customers and computer skills are exceptionally helpful. 
Day-to-day responsibilities: - Processes and moves production and other materials into and out of storage, production and other locations to support the flow of production following standard work instructions. - Communicates status of parts and materials using automated systems and manual reporting methods to insure parts availability.- Identifies and solves problems or discrepancies of limited scope with parts and materials using established procedures or processes.- Coordinates with various functions to set priorities, expedite and complete production activities to avoid schedule delays.

 Must- Have Requirements:- 1+ year experience working within a similar field - Experience working on a diverse team - Secret Clearance required (Candidates can have an intermittent secret clearance to start OR they must be able to obtain a Secret once starting)
This role is fully onsite in Lemoore, CA. Candidates local to the area will be given priority, but those open to relocating to the area are encouraged to apply! This role is a great opportunity for those who are looking to begin a lifelong career in the aerospace industry! *","Lemoore, CA",Contract,Mid-Senior level,https://www.linkedin.com/jobs/view/3757742374/?trk=jobs_biz_prem_srch,Insight Global
3757741842,11056.0,Operating Room Manager,"The OR Manager is responsible for all departmental functions in support of the center's mission, vision, and facility goals. The Manager identifies the cost-effective systems needed to support the business of the department taking into account business trends, resource availability and changes in customers. This position establishes effective working relationships with all constituencies including patients, physicians, employees, volunteers and vendors. The Manager identifies and remedies through continuous customer satisfaction data and employee involvement. The Department Manager works with Senior Management in meeting Facility goals. Oversees surgery, anesthesia, and sterile processing services. May assist as RN Circulator and Scrub Tech as necessary.
Required Skills and Experience ** Graduate of accredited school of professional nursing.* Baccalaureate degree preferred.* Five (5) years' experience in surgery as circulator* Two (2) years' experience in surgery management which includes pre-op, intra-op, and post-op care.* Current Texas RN License- BLS* CNOR preferred* Independent decision making skills.* Ability to prioritize and handle multiple projects.* Excellent communication skills with staff and physicians.","Peoria, AZ",Full-time,Mid-Senior level,https://www.linkedin.com/jobs/view/3757741842/?trk=jobs_biz_prem_srch,Insight Global
3757739746,11056.0,Search Engine Optimization Manager,"Position: SEO ManagerLocation: Hybrid in MiamiDuration: PERMSalary: 100-110k Must-haves:7+ years of SEO experience - 2+ years of experience within a leadership/ management level role at an enterprise organizationExperience communicating across editorial teams and driving SEO StandardsExperience auditing and providing recommendations.Experience with UAT, Adobe Analytics, Google Analytics, Semrush
Pluses:Hospitality Industry experience
Day-to-day:
This person will be joining the Global Ecommerce team and will be managing and communicating SEO Standards across editorial teams in alignment with the organization's initiatives as well as making recommendations and providing strategy based on emerging trends and industry news. This person will serve as the main POC for SEO, delegating responsibilities and providing strategy, but also being hands-on performing audits, UAT testing, gathering analytics and insights as well as providing recommendations across business units. This person should have experience planning SEO roadmaps and cases and manage expectations as well as propose ideas to grow and meet business needs.","Miami, FL",Full-time,Director,https://www.linkedin.com/jobs/view/3757739746/?trk=jobs_biz_prem_srch,Insight Global
3757737999,11056.0,Backend API Developer,"Requirements:   · 5+ years of professional Backend Development experience, with a focus on Express JS · Strong background in Node JS · Strong experience with RESTful API · Knowledge of MS Azure and web app development in the cloud   Plusses (Not Required):  Any Azure Certification Experience in collaborating with startups, understanding their unique needs and constraints.   Day to Day:  Our client in the digital healthcare industry is looking for a Senior API Developer to join the Application team. They will be reporting to the Manager of Applications. They are currently working on building out both a patient and client portal for their clients. This API Developer will be creating RESTful APIs and implement and maintain frontend architectures and ensure high performance and scalability. This person will write clean, efficient, and well-documented code and integrate with back-end services and databases to ensure seamless functionality.","Florida, United States",Full-time,Mid-Senior level,https://www.linkedin.com/jobs/view/3757737999/?trk=jobs_biz_prem_srch,Insight Global
