job_id,skill_name
3692301162,Project Management
3692301162,Information Technology
3692301162,Consulting
3692301171,Administrative
3692301171,Project Management
3692301171,Business Development
3692302089,Information Technology
3692303023,Information Technology
3692303024,Health Care Provider
3696394452,Information Technology
3696394454,Engineering
3696396337,Research
3696396337,Analyst
3696396337,Information Technology
3696396357,Accounting/Auditing
3696396357,Finance
3696396361,Engineering
3700147810,Accounting/Auditing
3700147810,Finance
3700150295,Information Technology
3700155066,Information Technology
3700155066,Quality Assurance
3690668153,Management
3690668153,Manufacturing
3690804650,Manufacturing
3690804650,Engineering
3690804650,Project Management
3690825634,Marketing
3690825634,Sales
3690828940,Marketing
3690828940,Product Management
3690835135,Sales
3690835135,Finance
3690835135,Project Management
3690841406,Information Technology
3690850853,Marketing
3690850853,Strategy/Planning
3690850853,Project Management
3690859113,Marketing
3690859113,Advertising
3690859113,Strategy/Planning
3690868934,Management
3690868934,Manufacturing
3692361903,Accounting/Auditing
3692361903,Finance
3692361906,Accounting/Auditing
3692361906,Finance
3692361910,Accounting/Auditing
3692361910,Finance
3692361914,Accounting/Auditing
3692361914,Finance
3692361915,Accounting/Auditing
3692361915,Finance
3692362852,Accounting/Auditing
3692362852,Finance
3692362854,Accounting/Auditing
3692362854,Finance
3692362958,Customer Service
3692362958,General Business
3692362958,Other
3692363690,Accounting/Auditing
3692363690,Finance
3692363702,Accounting/Auditing
3692363702,Finance
3692363706,Accounting/Auditing
3692363706,Finance
3692363707,Accounting/Auditing
3692363707,Finance
3692363708,Accounting/Auditing
3692363708,Finance
3692364339,Sales
3692364339,Business Development
3692364369,Accounting/Auditing
3692364369,Finance
3692364370,Accounting/Auditing
3692364370,Finance
3692364372,Accounting/Auditing
3692364372,Finance
3692364374,Accounting/Auditing
3692364374,Finance
3692364378,Accounting/Auditing
3692364378,Finance
3692364379,Accounting/Auditing
3692364379,Finance
3692364380,Accounting/Auditing
3692364380,Finance
3692365234,Accounting/Auditing
3692365234,Finance
3692365236,Accounting/Auditing
3692365236,Finance
3692365238,Accounting/Auditing
3692365238,Finance
3692365242,Accounting/Auditing
3692365242,Finance
3692365243,Accounting/Auditing
3692365243,Finance
3692366202,Accounting/Auditing
3692366202,Finance
3692366207,Accounting/Auditing
3692366207,Finance
3692366208,Accounting/Auditing
3692366208,Finance
3692366209,Accounting/Auditing
3692366209,Finance
3692366211,Accounting/Auditing
3692366211,Finance
3692366212,Accounting/Auditing
3692366212,Finance
3692366214,Accounting/Auditing
3692366214,Finance
3692366220,Accounting/Auditing
3692366220,Finance
3692366441,Engineering
3692366441,Project Management
3692366441,Manufacturing
3692367174,Accounting/Auditing
3692367174,Finance
3692367178,Accounting/Auditing
3692367178,Finance
3692367179,Accounting/Auditing
3692367179,Finance
3692367180,Accounting/Auditing
3692367180,Finance
3692367370,Information Technology
3692368116,Accounting/Auditing
3692368116,Finance
3692368118,Accounting/Auditing
3692368118,Finance
3692368122,Accounting/Auditing
3692368122,Finance
3692368249,Project Management
3692368249,Information Technology
3692369084,Information Technology
3692369084,Consulting
3696987546,Project Management
3696987546,Strategy/Planning
3696987546,Other
3696987686,Management
3696987686,Manufacturing
3696987698,Management
3696987698,Manufacturing
3696987775,Sales
3696987775,Business Development
3696987938,Sales
3696987938,Business Development
3696988374,Management
3696988374,Manufacturing
3696988456,Sales
3696988456,Business Development
3696988990,Engineering
3696988990,Design
3696988990,Other
3696989463,Sales
3696989463,Business Development
3696989494,Management
3696989494,Manufacturing
3696989579,Sales
3696989579,Business Development
3696990096,Project Management
3696990096,Strategy/Planning
3696990096,Other
3696990234,Management
3696990234,Manufacturing
3696990251,Management
3696990251,Manufacturing
3696990252,Management
3696990252,Manufacturing
3696990450,Sales
3696990450,Business Development
3696990838,Sales
3696990838,Business Development
3696990991,Sales
3696990991,Business Development
3696990992,Sales
3696990992,Business Development
3696990993,Sales
3696990993,Business Development
3696991158,Research
