,degree,field
0,Bachelor of Arts (B.A.) Honours,English Language and Literature
1,Business Analysis Essentials Certification,Business Analysis
2,Project Management Essentials Certification,Project Management
3,Post Graduate Certificate,Technical writer
4,Bachelor of Arts (B.A.) Honours,Psychology with a minor in English Language and Literature
5,"Bachelor of Arts (B.A.) Marketing, Communication, Design","Marketing, Communication, Design"
6,"English, French, Dutch, German, Art, History, Math and Economics","English, French, Dutch, German, Art, History, Math and Economics"
7,Electronic Engineering,Electronic Engineering
8,Unix System Administration,"Information Technology, Computer Science"
9,Bachelor of Engineering (B.Eng.),Engineering
10,Bachelors of Science in Pharmacology,Pharmacy
11,Bachelor of Business Administration - BBA,Tourism and hospitality Management
12,Diploma in Commerce,Commerce
13,Diploma in Commerce,"Business/Commerce, General"
14,Business Management,Human Resources Management and Services
15,Bachelor's degree of Food Science,Food Science
16,Bachelor of Science in Biochemistry and Biotechnology,Biochemistry and Biotechnology
17,Bachelor of Laws (Legum Baccalaureus; LLB),Law
18,Postgraduate Diploma in Legal Practice,Law
19,Master of Business Administration (MBA),"Finance, Operations"
20,Bachelor of Arts in History,History
21,Bachelor of Science in Electrical Engineering,Electrical Engineering
22,Master of Arts - MA,Pianist
23,Master in Science (Hons) Pharmacology with A Professional Placement Year,Pharmacology
24,Postgraduate Diploma in Medicine and the Medical Biosciences,Medicine and the Medical Biosciences
25,Bachelor of Fine Arts (B.F.A.),Graphic Design
26,BSc. Hons. Computer Science,Software Engineering of Distributed and Internet Systems
27,Mechanical Engineering,Engineering
28,Master's degree of Applied Psychology,Applied Psychology
29,Master's degree of Social Work,Social Work
30,Postgraduate certificate in Management & Leadership,Management & Leadership
31,Bachelor's degree in Social Sciences,"Human Services,"
32,Diploma in Justice studies,"Laws, Legal Practice"
33,Graduate Diploma in Legal Practice,"Laws, Legal Practice"
34,Bachelor of Laws (LLB),"Laws, Legal Practice"
35,Master of Public Administration (M.P.A.),Political Science and Government
36,Licentiate degree (Postgraduate) in Political Science and Government,Political Science and Government
37,Bachelor's degree of Engineering,"Electrical, Electronics and Communications Engineering"
38,Bachelor of Architecture - BArch,Architecture
39,Masters in Management Information Systems,Management Information Systems
40,Master of Business Administration (MBA),Marketing
41,Bachelor's degree of Arts in Marketing / Accounting,Marketing / Accounting
42,Postgraduate of Big data & Data Analytics,Big data & Data Analytics
43,Specialty' s degree of Internal Controls,Internal Controls
44,"Hotel Management, Catering Technology and Applied Nutrition",Hotel Management
45,Foreign languages faculty,Language Interpretation and Translation
46,Master of Business Administration (MBA),Marketing and Finance
47,Bachelor of Commerce (B.Com.),Tax Law/Taxation
48,Master's degree in Construction Engineering,Construction Management
49,Bachelor of Engineering - BE,Civil Engineering
50,Batchlor of engineering in power plant engineering,Power plant commissioning operation and performance
51,Integrated Studies,General Studies
