company_id,industry
81149246,Education
10033339,Information Technology
6049228,Banking and Finance
2641066,Engineering and Manufacturing
96649998,Business and Management
82684341,Healthcare
82296828,Information Technology
4781041,Healthcare
7573454,Information Technology
145145,Human Resource
20338460,Engineering and Manufacturing
90633414,Business and Management
2902815,Business and Management
371180,Healthcare
10563070,Education
88684,Engineering and Manufacturing
14615655,Information Technology
3657,Education
35602,Banking and Finance
89908682,Business and Management
2502541,Information Technology
9516195,Business and Management
298409,Human Resource
37768,Information Technology
7032083,Information Technology
33874,Healthcare
81886402,Healthcare
34771768,Human Resource
9215353,Healthcare
76323347,Healthcare
2999886,Human Resource
61677,Human Resource
40934666,Human Resource
19115854,Healthcare
4316275,Healthcare
27116461,Information Technology
64734122,Business and Management
272676,Human Resource
2313067,Human Resource
777243,Human Resource
72332830,Human Resource
2326570,Business and Management
82591929,Information Technology
90403412,Business and Management
922460,Engineering and Manufacturing
25963,Business and Management
72628508,Engineering and Manufacturing
61242,Business and Management
9599126,Healthcare
260776,Healthcare
90636422,Banking and Finance
80998774,Business and Management
71558880,Healthcare
1505704,Banking and Finance
11234188,Business and Management
477012,Information Technology
8167270,Engineering and Manufacturing
16063763,Business and Management
40775779,Engineering and Manufacturing
1211072,Information Technology
109690,Business and Management
82809834,Human Resource
5103135,Business and Management
99429,Business and Management
2281751,Information Technology
2434292,Human Resource
3671,Business and Management
2413926,Human Resource
3663488,Information Technology
2474970,Information Technology
1584751,Human Resource
2908367,Human Resource
205127,Human Resource
1441,Information Technology
9185,Business and Management
93283844,Business and Management
1318,Information Technology
26923,Business and Management
28014,Human Resource
64877765,Information Technology
10589520,Engineering and Manufacturing
2625582,Healthcare
1117761,Healthcare
2272345,Information Technology
67936,Healthcare
9238932,Business and Management
10069048,Healthcare
444038,Human Resource
35504315,Healthcare
1264,Banking and Finance
1400,Information Technology
808034,Human Resource
80862575,Healthcare
1262,Banking and Finance
73013724,Banking and Finance
230495,Information Technology
113254,Information Technology
1075434,Healthcare
107457,Healthcare
18270206,Business and Management
16198010,Information Technology
8274,Business and Management
18691,Healthcare
79806,Business and Management
1947704,Engineering and Manufacturing
2263179,Engineering and Manufacturing
468782,Engineering and Manufacturing
434598,Banking and Finance
6476,Healthcare
1063,Information Technology
6547149,Healthcare
24629,Information Technology
13181,Healthcare
1089558,Human Resource
3894635,Business and Management
18995316,Information Technology
61469,Human Resource
6910,Education
61400,Human Resource
77169664,Healthcare
68746191,Healthcare
3628379,Business and Management
18192301,Healthcare
84939936,Business and Management
44786,Banking and Finance
35696106,Business and Management
69642092,Information Technology
89737107,Business and Management
2803017,Business and Management
84855353,Business and Management
2144424,Healthcare
1215629,Human Resource
93094245,Business and Management
82884837,Information Technology
95734747,Healthcare
90666319,Information Technology
436163,Information Technology
750072,Information Technology
278493,Banking and Finance
1313100,Information Technology
440105,Healthcare
6648075,Human Resource
68921004,Information Technology
16318,Healthcare
9260752,Human Resource
35512060,Information Technology
13391879,Information Technology
14467750,Information Technology
91098929,Healthcare
47660218,Business and Management
89721371,Information Technology
47238,Education
1044,Information Technology
1180728,Human Resource
164992,Information Technology
2740813,Human Resource
80051634,Information Technology
6967,Information Technology
164707,Education
1712352,Banking and Finance
81471675,Human Resource
